"CubeId";"plimoinreg"
"PublishingDate";"2024-09-23 09:00"

"Date";"D0";"D1";"D2";"Value"
"1979";"EH";"RI";"A";"46.70752252"
"1979";"EH";"RI";"T";
"1979";"EH";"RN";"A";"58.20270524"
"1979";"EH";"RN";"T";
"1979";"EH";"RB0";"A";"60.97063118"
"1979";"EH";"RB0";"T";
"1979";"EH";"RS";"A";"65.20807332"
"1979";"EH";"RS";"T";
"1979";"EH";"RG0";"A";"65.44639871"
"1979";"EH";"RG0";"T";
"1979";"EH";"RW";"A";"55.56248453"
"1979";"EH";"RW";"T";
"1979";"MW";"GS";"A";"50.58106079"
"1979";"MW";"RZ";"A";"58.35782939"
"1979";"MW";"RO";"A";"49.10410809"
"1979";"MW";"RI";"A";"46.80469763"
"1979";"MW";"RN";"A";"47.35516402"
"1979";"MW";"RB0";"A";"51.87251193"
"1979";"MW";"RS";"A";"50.21515953"
"1979";"MW";"RG0";"A";"47.92531001"
"1979";"MW";"RW";"A";"42.09735474"
"1979";"BF";"GS";"A";"61.07753945"
"1979";"BF";"RZ";"A";"60.54107278"
"1979";"BF";"RB1";"A";"59.00965569"
"1979";"BF";"RG1";"A";"59.31219885"
"1979";"BF";"US";"A";"62.29672582"
"1979";"GF";"GS";"A";"57.48728371"
"1979";"GF";"RZ";"A";"59.30099469"
"1979";"GF";"RB1";"A";"50.34124828"
"1979";"GF";"RG1";"A";"55.85553986"
"1979";"GF";"US";"A";"52.62779549"
"1980";"EW";"GS";"A";"62.18685852"
"1980";"EW";"GS";"T";
"1980";"EW";"RZ";"A";"63.22723374"
"1980";"EW";"RZ";"T";
"1980";"EW";"RO";"A";"54.69112671"
"1980";"EW";"RO";"T";
"1980";"EW";"RI";"A";"52.55735049"
"1980";"EW";"RI";"T";
"1980";"EW";"RN";"A";"55.75858718"
"1980";"EW";"RN";"T";
"1980";"EW";"RB0";"A";"66.24442835"
"1980";"EW";"RB0";"T";
"1980";"EW";"RS";"A";"64.60285421"
"1980";"EW";"RS";"T";
"1980";"EW";"RG0";"A";"63.07287261"
"1980";"EW";"RG0";"T";
"1980";"EW";"RW";"A";"74.13723985"
"1980";"EW";"RW";"T";
"1980";"EH";"GS";"A";"65.84390784"
"1980";"EH";"GS";"T";
"1980";"EH";"RZ";"A";"66.20665955"
"1980";"EH";"RZ";"T";
"1980";"EH";"RO";"A";"59.12528398"
"1980";"EH";"RO";"T";
"1980";"EH";"RI";"A";"52.91414015"
"1980";"EH";"RI";"T";
"1980";"EH";"RN";"A";"62.40771519"
"1980";"EH";"RN";"T";
"1980";"EH";"RB0";"A";"65.47954491"
"1980";"EH";"RB0";"T";
"1980";"EH";"RS";"A";"66.85429138"
"1980";"EH";"RS";"T";
"1980";"EH";"RG0";"A";"74.40152425"
"1980";"EH";"RG0";"T";
"1980";"EH";"RW";"A";"63.18331304"
"1980";"EH";"RW";"T";
"1980";"MW";"GS";"A";"56.7781403"
"1980";"MW";"RZ";"A";"63.52483663"
"1980";"MW";"RO";"A";"58.12310481"
"1980";"MW";"RI";"A";"54.45197386"
"1980";"MW";"RN";"A";"54.15489429"
"1980";"MW";"RB0";"A";"58.0212817"
"1980";"MW";"RS";"A";"53.38511899"
"1980";"MW";"RG0";"A";"53.46412861"
"1980";"MW";"RW";"A";"45.20135322"
"1980";"BF";"GS";"A";"64.45189481"
"1980";"BF";"RZ";"A";"62.71721487"
"1980";"BF";"RB1";"A";"67.39723742"
"1980";"BF";"RG1";"A";"63.70589864"
"1980";"BF";"US";"A";"62.9781929"
"1980";"GF";"GS";"A";"67.11446245"
"1980";"GF";"RZ";"A";"60.89701727"
"1980";"GF";"RB1";"A";"76.86054729"
"1980";"GF";"RG1";"A";"73.35780487"
"1980";"GF";"US";"A";"57.89197645"
"1981";"EW";"GS";"A";"67.59909693"
"1981";"EW";"GS";"T";
"1981";"EW";"RZ";"A";"69.43939816"
"1981";"EW";"RZ";"T";
"1981";"EW";"RO";"A";"61.86262785"
"1981";"EW";"RO";"T";
"1981";"EW";"RI";"A";"58.83738224"
"1981";"EW";"RI";"T";
"1981";"EW";"RN";"A";"55.96886321"
"1981";"EW";"RN";"T";
"1981";"EW";"RB0";"A";"73.11917482"
"1981";"EW";"RB0";"T";
"1981";"EW";"RS";"A";"69.09928282"
"1981";"EW";"RS";"T";
"1981";"EW";"RG0";"A";"71.97980857"
"1981";"EW";"RG0";"T";
