Name,Sex,Age,Height,Weight,NOC,Year,Event,Medal
Esbela Fernanda Rosa da Fonseca,F,18.0,156.0,58.0,POR,1960,Vault,none
Esbela Fernanda Rosa da Fonseca,F,22.0,156.0,58.0,POR,1964,Vault,none
Esbela Fernanda Rosa da Fonseca,F,26.0,156.0,58.0,POR,1968,Vault,none
Gail Marion Daley (-Bakker),F,18.0,156.0,47.0,CAN,1964,Vault,none
Dorothy Katherine Dalton,F,29.0,,,USA,1952,Vault,none
Nansy Damianova,F,17.0,154.0,45.0,CAN,2008,Vault,none
"Suzanne Dando (-MacLean, -Roberts, -Reynolds)",F,19.0,163.0,49.0,GBR,1980,Vault,none
Halina Daniec (-Wojtaszek),F,19.0,164.0,54.0,POL,1968,Vault,none
Pelageya Aleksandrovna Danilova (-Demirdzhiyan),F,34.0,,,URS,1952,Vault,none
Jamie Annette Dantzscher,F,18.0,152.0,49.0,USA,2000,Vault,none
Dashzevgiin Ariunaa,F,14.0,150.0,38.0,MGL,1980,Vault,none
Catherine Daug,F,15.0,,,FRA,1972,Vault,none
Davaasrengiin Oyuuntuyaa,F,13.0,155.0,43.0,MGL,1980,Vault,none
Cissy Davies (-Sanders),F,19.0,,,GBR,1952,Vault,none
Natalie Davies,F,17.0,150.0,47.0,GBR,1984,Vault,none
Muriel Evelyn Davis-Grossfeld,F,16.0,160.0,50.0,USA,1956,Vault,none
Muriel Evelyn Davis-Grossfeld,F,19.0,160.0,50.0,USA,1960,Vault,none
Muriel Evelyn Davis-Grossfeld,F,24.0,160.0,50.0,USA,1964,Vault,none
Yelena Viktorovna Davydova (-Filatova),F,18.0,148.0,45.0,URS,1980,Vault,none
Dominique Margaux Dawes (-Thompson),F,15.0,158.0,54.0,USA,1992,Vault,none
Dominique Margaux Dawes (-Thompson),F,19.0,158.0,54.0,USA,1996,Vault,none
Dominique Margaux Dawes (-Thompson),F,23.0,158.0,54.0,USA,2000,Vault,none
Jolle De Keukeleire,F,16.0,159.0,47.0,BEL,1976,Vault,none
Maria Jos de la Fuente,F,15.0,150.0,40.0,BOL,2004,Vault,none
