Rank,D,E,ND,Total,D2,E2,ND2,Total2,Average,year,medal,Name,Nation,round_2015,round_final
3.0,5.4,9.2,0.0,14.6,6.0,9.033,0.0,15.033,14.816,2019.0,0,28,38,False,True
4.0,5.4,9.2,0.0,14.6,6.0,8.866,0.0,14.866,14.733,2019.0,0,67,38,False,True
5.0,5.4,9.2,0.0,14.6,5.8,8.9,0.0,14.7,14.65,2019.0,0,62,38,False,True
6.0,5.8,8.766,0.1,14.466,5.6,9.2,0.0,14.8,14.633,2019.0,0,0,38,False,True
7.0,5.8,8.9,0.0,14.7,5.6,8.733,0.3,14.033,14.366,2019.0,0,43,38,False,True
8.0,6.2,8.033,0.3,13.933,5.4,9.033,0.0,14.433,14.183,2019.0,1,79,38,False,True
1.0,5.4,9.033,0.0,14.433,0.0,0.0,0.0,0.0,14.283,2019.0,0,71,32,False,True
1.0,5.0,9.133,0.0,14.133,0.0,0.0,0.0,0.0,14.283,2019.0,0,71,32,False,True
2.0,5.4,8.8,-0.1,14.1,0.0,0.0,0.0,0.0,14.133,2019.0,0,4,31,False,True
2.0,5.2,8.966,0.0,14.166,0.0,0.0,0.0,0.0,14.133,2019.0,0,4,31,False,True
3.0,5.4,8.933,0.0,14.333,0.0,0.0,0.0,0.0,14.066,2019.0,0,64,15,False,True
3.0,5.0,8.8,0.0,13.8,0.0,0.0,0.0,0.0,14.066,2019.0,0,64,15,False,True
4.0,4.8,8.833,0.0,13.633,0.0,0.0,0.0,0.0,13.699,2019.0,0,31,27,False,True
4.0,4.8,8.966,0.0,13.766,0.0,0.0,0.0,0.0,13.699,2019.0,0,31,27,False,True
5.0,4.8,8.9,0.0,13.7,0.0,0.0,0.0,0.0,13.666,2019.0,0,55,17,False,True
5.0,4.8,8.833,0.0,13.633,0.0,0.0,0.0,0.0,13.666,2019.0,0,55,17,False,True
6.0,5.4,7.6,-0.1,12.9,0.0,0.0,0.0,0.0,13.466,2019.0,0,50,2,False,True
6.0,5.2,8.833,0.0,14.033,0.0,0.0,0.0,0.0,13.466,2019.0,0,50,2,False,True
1.0,5.8,9.15,0.0,14.95,5.5,9.325,0.0,14.825,14.887,2013.0,0,56,35,False,True
2.0,5.3,9.325,0.0,14.625,5.2,8.975,0.0,14.175,14.4,2013.0,0,54,24,False,True
3.0,5.2,9.25,0.0,14.45,5.4,8.75,-0.3,13.85,14.15,2013.0,0,46,4,False,True
4.0,5.2,8.775,0.0,13.975,5.0,8.825,0.0,13.825,13.9,2013.0,0,35,14,False,True
4.0,5.2,8.6,-0.3,13.5,5.4,8.9,0.0,14.3,13.9,2013.0,0,47,5,False,True
6.0,5.3,7.9,0.0,13.2,5.2,9.05,0.0,14.25,13.725,2013.0,0,12,24,False,True
7.0,4.6,8.75,0.0,13.35,5.3,8.825,-0.1,14.025,13.687,2013.0,0,55,17,False,True
8.0,4.3,7.525,0.0,11.825,5.3,8.225,-0.3,13.255,12.525,2013.0,0,57,29,False,True
1.0,5.8,8.775,0.0,14.575,5.2,8.9,0.0,14.1,14.337,2014.0,0,42,30,False,True
2.0,5.3,8.8,0.0,14.1,5.3,8.8,0.0,14.1,14.1,2014.0,0,71,32,False,True
3.0,5.2,8.675,0.0,13.875,5.0,8.75,0.0,13.75,13.812,2014.0,0,35,14,False,True
4.0,5.8,8.475,-0.3,13.975,4.8,8.65,0.0,13.45,13.712,2014.0,0,14,25,False,True
5.0,5.2,8.75,-0.1,13.85,5.0,8.5,0.0,13.5,13.675,2014.0,0,76,21,False,True
6.0,5.0,8.95,0.0,13.95,4.4,8.825,0.0,13.225,13.587,2014.0,0,23,15,False,True
7.0,5.0,8.625,-0.3,13.325,5.0,8.425,-0.1,13.325,13.325,2014.0,0,22,36,False,True
8.0,4.6,8.5,0.0,13.1,4.8,8.625,0.0,13.425,13.262,2014.0,0,73,32,False,True
1.0,5.8,9.15,0.0,14.95,5.9,8.65,0.0,14.55,14.75,2016.0,0,67,4,False,True
2.0,5.8,8.525,0.0,14.325,5.6,8.95,0.0,14.55,14.437,2016.0,0,10,4,False,True
3.0,5.8,8.725,0.0,14.525,5.2,8.775,0.0,13.975,14.25,2016.0,0,14,25,False,True
