Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
6,6.2,8.4,0.0,27.6,2020,0,74,72,True,False
7,6.1,8.05,0.0,27.2,2020,0,228,72,True,False
7,6.1,6.95,0.0,27.2,2020,0,228,72,True,False
8,5.5,7.6,0.0,27.15,2020,0,11,72,True,False
8,5.8,8.25,0.0,27.15,2020,0,11,72,True,False
8,4.9,9.0,0.0,27.15,2020,0,199,72,True,False
8,4.9,8.35,0.0,27.15,2020,0,199,72,True,False
10,5.5,7.8,0.0,27.0,2020,0,45,72,True,False
10,5.6,8.1,0.0,27.0,2020,0,45,72,True,False
10,5.5,8.0,0.0,27.0,2020,0,241,72,True,False
10,5.4,8.1,0.0,27.0,2020,0,241,72,True,False
12,5.6,8.35,0.0,26.9,2020,0,46,72,True,False
12,5.3,7.65,0.0,26.9,2020,0,46,72,True,False
13,6.3,7.75,0.0,26.85,2020,0,174,72,True,False
13,6.0,6.8,0.0,26.85,2020,0,174,72,True,False
14,5.5,7.6,0.0,26.55,2020,0,57,72,True,False
14,5.5,7.95,0.0,26.55,2020,0,57,72,True,False
14,5.6,8.25,0.0,26.55,2020,0,92,72,True,False
14,5.9,6.8,0.0,26.55,2020,0,92,72,True,False
16,4.1,8.55,0.0,26.4,2020,0,211,72,True,False
16,4.7,9.05,0.0,26.4,2020,0,211,72,True,False
17,4.6,8.75,0.0,25.95,2020,0,95,72,True,False
17,4.9,7.7,0.0,25.95,2020,0,95,72,True,False
18,5.6,7.45,0.0,25.9,2020,0,49,72,True,False
18,5.7,7.15,0.0,25.9,2020,0,49,72,True,False
19,4.6,8.45,0.0,25.75,2020,0,176,72,True,False
19,4.6,8.1,0.0,25.75,2020,0,176,72,True,False
20,6.1,6.5,0.0,25.45,2020,0,257,72,True,False
20,6.1,6.75,0.0,25.45,2020,0,257,72,True,False
20,4.8,7.05,0.0,25.45,2020,0,148,72,True,False
20,5.2,8.4,0.0,25.45,2020,0,148,72,True,False
22,4.8,7.95,0.0,25.4,2020,0,91,72,True,False
22,4.8,7.85,0.0,25.4,2020,0,91,72,True,False
23,4.8,7.5,0.0,25.35,2020,0,56,72,True,False
23,4.8,8.25,0.0,25.35,2020,0,56,72,True,False
24,5.1,8.3,0.0,25.05,2020,0,114,72,True,False
24,4.8,6.85,0.0,25.05,2020,0,114,72,True,False
25,4.9,7.85,0.0,24.25,2020,0,183,72,True,False
25,4.9,6.6,0.0,24.25,2020,0,183,72,True,False
26,5.5,5.3,0.0,23.7,2020,0,7,72,True,False
26,5.2,7.7,0.0,23.7,2020,0,7,72,True,False
