Rank,FX,PH,SR,VT,PB,HB,AA,year,Nation,Name,round_final,round_qual
,0.0,0.0,14.666,14.7,0.0,0.0,29.366,2022,,80,False,True
,14.266,0.0,0.0,14.7,0.0,0.0,28.966,2022,,215,False,True
,0.0,0.0,0.0,0.0,14.833,14.1,28.933,2022,,248,False,True
,0.0,0.0,13.866,14.7,0.0,0.0,28.566,2022,,162,False,True
,0.0,0.0,0.0,0.0,13.333,14.3,27.633,2022,,334,False,True
,0.0,0.0,0.0,0.0,14.233,13.266,27.499,2022,,321,False,True
,0.0,13.233,0.0,0.0,0.0,14.066,27.299,2022,,66,False,True
,0.0,0.0,0.0,0.0,12.633,14.466,27.099,2022,,165,False,True
,0.0,0.0,0.0,0.0,13.633,13.3,26.933,2022,,267,False,True
,0.0,13.366,13.3,0.0,0.0,0.0,26.666,2022,,48,False,True
,13.0,0.0,0.0,0.0,13.633,0.0,26.633,2022,,390,False,True
,0.0,0.0,13.933,0.0,0.0,12.366,26.299,2022,,396,False,True
,0.0,0.0,0.0,0.0,13.4,12.733,26.133,2022,,294,False,True
,0.0,12.7,0.0,0.0,13.133,0.0,25.833,2022,,151,False,True
,0.0,13.2,0.0,0.0,12.466,0.0,25.666,2022,,184,False,True
,12.133,0.0,0.0,13.5,0.0,0.0,25.633,2022,,29,False,True
,0.0,11.2,0.0,0.0,0.0,14.0,25.2,2022,,22,False,True
,0.0,15.233,0.0,0.0,0.0,0.0,15.233,2022,,326,False,True
,0.0,15.233,0.0,0.0,0.0,0.0,15.233,2022,,360,False,True
